line_no,row_kind,source_table,code,meaning,code_cont,meaning_cont
491,Data,codes__01,A,Assignment,,
492,Data,codes__01,ADR,ADR Fee Accrual,,
493,Data,codes__01,AEx,Automatic exercise for dividend-related recommendation.,,
494,Data,codes__01,AFx,AutoFX conversion resulting from trading,,
495,Data,codes__01,Adj,Adjustment,,
496,Data,codes__01,Al,Allocation,,
497,Data,codes__01,Aw,Away Trade,,
498,Data,codes__01,B,Automatic Buy-in,,
499,Data,codes__01,Bo,Direct Borrow,,
500,Data,codes__01,C,Closing Trade,,
501,Data,codes__01,CD,Cash Delivery,,
502,Data,codes__01,CP,Complex Position,,
503,Data,codes__01,Ca,Cancelled,,
504,Data,codes__01,Co,Corrected Trade,,
505,Data,codes__01,Cx,Part or all of this transaction was a Crossing executed as dual agent by IB for two IB customers,,
506,Data,codes__01,DT,Discounted Trade,,
507,Data,codes__01,De,Delivery or Conversion Action,,
508,Data,codes__01,ETF,ETF Creation/Redemption,,
509,Data,codes__01,Ep,Resulted from an Expired Position,,
510,Data,codes__01,Ex,Exercise,,
511,Data,codes__01,FP,The fractional portion of this trade was executed against IB or an affiliate.,,
512,Data,codes__01,FPA,The fractional portion of this trade was executed against IB or an affiliate. IB acted as agent for the whole share portion of this trade.,,
513,Data,codes__01,G,Trade in Guaranteed Account Segment,,
514,Data,codes__01,GEA,Exercise or Assignment resulting from offsetting positions,,
515,Data,codes__01,HC,Highest Cost tax basis election,,
516,Data,codes__01,HFI,Investment Transferred to Hedge Fund,,
517,Data,codes__01,HFR,Redemption from Hedge Fund,,
518,Data,codes__01,I,Internal Transfer,,
519,Data,codes__01,IA,The transaction was executed against IB or an affiliate,,
520,Data,codes__01,IM,A portion of the order was executed against IB or an affiliate; IB acted as agent on a portion.,,
521,Data,codes__01,INV,Investment Transfer from Investor,,
522,Data,codes__01,IPO,This transaction was executed as part of an IPO in which IB was a member of the selling group and is classified as a Principal trade.,,
523,Data,codes__01,L,Ordered by IB (Margin Violation),,
524,Data,codes__01,LD,Adjusted by Loss Disallowed from Wash Sale,,
525,Data,codes__01,LF,Liquidation of fractional position by IB,,
526,Data,codes__01,LI,"Last In, First Out (LIFO) tax basis election",,
527,Data,codes__01,LT,Long Term P/L,,
528,Data,codes__01,Lo,Direct Loan,,
529,Data,codes__01,M,Entered manually by IB,,
530,Data,codes__01,MEx,Manual exercise for dividend-related recommendation.,,
531,Data,codes__01,ML,Maximize Losses tax basis election,,
532,Data,codes__01,MLG,Maximize Long Term Gain tax basis election,,
533,Data,codes__01,MLL,Maximize Long Term Loss tax basis election,,
534,Data,codes__01,MSG,Maximize Short Term Gain tax basis election,,
535,Data,codes__01,MSL,Maximize Short Term Loss tax basis election,,
536,Data,codes__01,O,Opening Trade,,
537,Data,codes__01,Off,Yes and No contracts offset to $1.00 cash settlement,,
538,Data,codes__01,P,Partial Execution,,
539,Data,codes__01,PE,Perpetual Investment,,
540,Data,codes__01,PI,Price Improvement,,
541,Data,codes__01,PTA,Post Trade Allocation,,
542,Data,codes__01,Po,Interest or Dividend Accrual Posting,,
543,Data,codes__01,Pr,Part or all of this transaction was executed by the Exchange as a Crossing by IB against an IB affiliate and is therefore classified as a Principal and not an agency trade,,
544,Data,codes__01,R,Dividend Reinvestment,,
545,Data,codes__01,RED,Redemption to Investor,,
546,Data,codes__01,RI,Recurring Investment,,
547,Data,codes__01,RP,"IB acted as agent for the fractional share portion of this trade, which was executed by an IB affiliate as riskless principal.",,
548,Data,codes__01,RPA,IB acted as agent for both the fractional share portion and the whole share portion of this trade; the fractional share portion was executed by an IB Affiliate as riskless principal.,,
549,Data,codes__01,Rb,Rebill,,
550,Data,codes__01,Re,Interest or Dividend Accrual Reversal,,
551,Data,codes__01,Ri,Reimbursement,,
552,Data,codes__01,S0,Contract settled to zero value,,
553,Data,codes__01,S1,Contract settled to $1.00,,
554,Data,codes__01,SF,Trade is subject to IBKR Lite Surcharge Fee if volume of such trades exceeds 10% of the total monthly Lite trade volume,,
555,Data,codes__01,SI,This order was solicited by Interactive Brokers,,
556,Data,codes__01,SL,Specific Lot tax basis election,,
557,Data,codes__01,SO,This order was marked as solicited by your Introducing Broker,,
558,Data,codes__01,SS,Customer designated this trade for shortened settlement and so is subject to execution at prices above the prevailing market,,
559,Data,codes__01,ST,Short Term P/L,,
560,Data,codes__01,T,Transfer,,
561,Data,codes__01,Un,Unvested shares from stock grant,,
562,Data,codes__01,XCH,Mutual Fund Exchange Transaction,,
