line_no,row_kind,source_table,asset_category,currency,symbol,date,ex_date,pay_date,quantity,tax,fee,gross_rate,gross_amount,net_amount,code
478,Data,change_in_dividend_accruals__01,Stocks,USD,TKO,2025-12-12,2025-12-15,2025-12-30,12,0,0,0.78,9.36,9.36,Po
479,Data,change_in_dividend_accruals__01,Stocks,USD,TKO,2025-12-30,2025-12-15,2025-12-30,12,0,0,0.78,-9.36,-9.36,Re
480,Data,change_in_dividend_accruals__01,Stocks,USD,V,2025-02-10,2025-02-11,2025-03-03,3,0,0,0.59,1.77,1.77,Po
481,Data,change_in_dividend_accruals__01,Stocks,USD,V,2025-03-03,2025-02-11,2025-03-03,3,0,0,0.59,-1.77,-1.77,Re
482,Data,change_in_dividend_accruals__01,Stocks,USD,V,2025-05-12,2025-05-13,2025-06-02,3,0,0,0.59,1.77,1.77,Po
483,Data,change_in_dividend_accruals__01,Stocks,USD,V,2025-06-02,2025-05-13,2025-06-02,3,0,0,0.59,-1.77,-1.77,Re
484,Data,change_in_dividend_accruals__01,Stocks,USD,V,2025-08-11,2025-08-12,2025-09-02,3,0,0,0.59,1.77,1.77,Po
485,Data,change_in_dividend_accruals__01,Stocks,USD,V,2025-09-02,2025-08-12,2025-09-02,3,0,0,0.59,-1.77,-1.77,Re
486,Data,change_in_dividend_accruals__01,Stocks,USD,V,2025-11-11,2025-11-12,2025-12-01,3,0,0,0.67,2.01,2.01,Po
487,Data,change_in_dividend_accruals__01,Stocks,USD,V,2025-12-01,2025-11-12,2025-12-01,3,0,0,0.67,-2.01,-2.01,Re
488,Data,change_in_dividend_accruals__01,Total,,,,,,,0,0,,-0.01,-0.01,
489,Data,change_in_dividend_accruals__01,Ending Dividend Accruals in USD,,,,,,,,,,,0,
