line_no,row_kind,source_table,datadiscriminator,asset_category,currency,symbol,date_time,quantity,t_price,proceeds,comm_fee,basis,realized_p_l,code,notional_value,comm_in_usd,field_10,field_11
152,SubTotal,trades__01,,Stocks,USD,MSCI,,-5,,2547.675,-1.071885365,-2877.160192,-330.557077,,,,,
153,Data,trades__01,Order,Stocks,USD,NMM,"2024-12-31, 09:57:38",20,43.455,-869.1,-1.00144,870.10144,0,O,,,,
154,Data,trades__01,Order,Stocks,USD,NMM,"2025-04-08, 13:38:37",-40,30.11,1204.4,-1.04196232,-1928.10144,-724.743402,C,,,,
155,SubTotal,trades__01,,Stocks,USD,NMM,,-20,,335.3,-2.04340232,-1058,-724.743402,,,,,
156,Data,trades__01,Order,Stocks,USD,NVDA,"2025-01-27, 09:30:02",5,124.94,-624.7,-1.000175,625.700175,0,O,,,,
157,SubTotal,trades__01,,Stocks,USD,NVDA,,5,,-624.7,-1.000175,625.700175,0,,,,,
158,Data,trades__01,Order,Stocks,USD,RNMBY,"2025-06-06, 08:22:17",3,415,-1245,-1.00000138,1246.00000138,0,O,,,,
159,SubTotal,trades__01,,Stocks,USD,RNMBY,,3,,-1245,-1.00000138,1246.00000138,0,,,,,
160,Data,trades__01,Order,Stocks,USD,SE,"2025-02-11, 13:15:24",16,127.2965,-2036.744,-1.000736,2037.744736,0,IA;O,,,,
161,Data,trades__01,Order,Stocks,USD,SE,"2025-04-09, 09:52:14",-16,105.21,1683.36,-1.050189408,-2037.744736,-355.434925,C,,,,
162,SubTotal,trades__01,,Stocks,USD,SE,,0,,-353.384,-2.050925408,-0,-355.434925,,,,,
163,Data,trades__01,Order,Stocks,USD,SFM,"2025-03-12, 09:33:42",14,140.81,-1971.34,-1.00049,1972.34049,0,O,,,,
164,SubTotal,trades__01,,Stocks,USD,SFM,,14,,-1971.34,-1.00049,1972.34049,0,,,,,
165,Data,trades__01,Order,Stocks,USD,SLV,"2025-06-20, 16:20:00",100,30,-3000,0,3000,0,Ex;O,,,,
166,SubTotal,trades__01,,Stocks,USD,SLV,,100,,-3000,0,3000,0,,,,,
167,Data,trades__01,Order,Stocks,USD,TKO,"2025-02-10, 13:03:00",12,173.1,-2077.2,-1.000552,2078.200552,0,O,,,,
168,SubTotal,trades__01,,Stocks,USD,TKO,,12,,-2077.2,-1.000552,2078.200552,0,,,,,
