table_name,section,header_line_no,column_count,row_count,csv_path,raw_headers_json,column_names_json
mark_to_market_performance_summary__01,Mark-to-Market Performance Summary,35,12,48,tables/mark_to_market_performance_summary__01.csv,"[""Asset Category"", ""Symbol"", ""Prior Quantity"", ""Current Quantity"", ""Prior Price"", ""Current Price"", ""Mark-to-Market P/L Position"", ""Mark-to-Market P/L Transaction"", ""Mark-to-Market P/L Commissions"", ""Mark-to-Market P/L Other"", ""Mark-to-Market P/L Total"", ""Code""]","[""asset_category"", ""symbol"", ""prior_quantity"", ""current_quantity"", ""prior_price"", ""current_price"", ""mark_to_market_p_l_position"", ""mark_to_market_p_l_transaction"", ""mark_to_market_p_l_commissions"", ""mark_to_market_p_l_other"", ""mark_to_market_p_l_total"", ""code""]"
mark_to_market_performance_summary__all,Mark-to-Market Performance Summary,36,12,48,tables/mark_to_market_performance_summary__all.csv,"[""<consolidated union of section variants>""]","[""line_no"", ""row_kind"", ""source_table"", ""asset_category"", ""symbol"", ""prior_quantity"", ""current_quantity"", ""prior_price"", ""current_price"", ""mark_to_market_p_l_position"", ""mark_to_market_p_l_transaction"", ""mark_to_market_p_l_commissions"", ""mark_to_market_p_l_other"", ""mark_to_market_p_l_total"", ""code""]"
month_year_to_date_performance_summary__01,Month & Year to Date Performance Summary,129,9,17,tables/month_year_to_date_performance_summary__01.csv,"[""Asset Category"", ""Symbol"", ""Description"", ""Mark-to-Market MTD"", ""Mark-to-Market YTD"", ""Realized S/T MTD"", ""Realized S/T YTD"", ""Realized L/T MTD"", ""Realized L/T YTD""]","[""asset_category"", ""symbol"", ""description"", ""mark_to_market_mtd"", ""mark_to_market_ytd"", ""realized_s_t_mtd"", ""realized_s_t_ytd"", ""realized_l_t_mtd"", ""realized_l_t_ytd""]"
month_year_to_date_performance_summary__all,Month & Year to Date Performance Summary,130,9,17,tables/month_year_to_date_performance_summary__all.csv,"[""<consolidated union of section variants>""]","[""line_no"", ""row_kind"", ""source_table"", ""asset_category"", ""symbol"", ""description"", ""mark_to_market_mtd"", ""mark_to_market_ytd"", ""realized_s_t_mtd"", ""realized_s_t_ytd"", ""realized_l_t_mtd"", ""realized_l_t_ytd""]"
net_asset_value__01,Net Asset Value,14,6,6,tables/net_asset_value__01.csv,"[""Asset Class"", ""Prior Total"", ""Current Long"", ""Current Short"", ""Current Total"", ""Change""]","[""asset_class"", ""prior_total"", ""current_long"", ""current_short"", ""current_total"", ""change""]"
net_asset_value__02,Net Asset Value,21,1,1,tables/net_asset_value__02.csv,"[""Time Weighted Rate of Return""]","[""time_weighted_rate_of_return""]"
net_asset_value__all,Net Asset Value,15,7,7,tables/net_asset_value__all.csv,"[""<consolidated union of section variants>""]","[""line_no"", ""row_kind"", ""source_table"", ""asset_class"", ""prior_total"", ""current_long"", ""current_short"", ""current_total"", ""change"", ""time_weighted_rate_of_return""]"
net_stock_position_summary__01,Net Stock Position Summary,210,8,12,tables/net_stock_position_summary__01.csv,"[""Asset Category"", ""Currency"", ""Symbol"", ""Description"", ""Shares at IB"", ""Shares Borrowed"", ""Shares Lent"", ""Net Shares""]","[""asset_category"", ""currency"", ""symbol"", ""description"", ""shares_at_ib"", ""shares_borrowed"", ""shares_lent"", ""net_shares""]"
net_stock_position_summary__all,Net Stock Position Summary,211,8,12,tables/net_stock_position_summary__all.csv,"[""<consolidated union of section variants>""]","[""line_no"", ""row_kind"", ""source_table"", ""asset_category"", ""currency"", ""symbol"", ""description"", ""shares_at_ib"", ""shares_borrowed"", ""shares_lent"", ""net_shares""]"
notes_legal_notes__01,Notes/Legal Notes,597,2,27,tables/notes_legal_notes__01.csv,"[""Type"", ""Note""]","[""type"", ""note""]"
notes_legal_notes__all,Notes/Legal Notes,598,2,27,tables/notes_legal_notes__all.csv,"[""<consolidated union of section variants>""]","[""line_no"", ""row_kind"", ""source_table"", ""type"", ""note""]"
open_positions__01,Open Positions,188,12,16,tables/open_positions__01.csv,"[""DataDiscriminator"", ""Asset Category"", ""Currency"", ""Symbol"", ""Quantity"", ""Mult"", ""Cost Price"", ""Cost Basis"", ""Close Price"", ""Value"", ""Unrealized P/L"", ""Code""]","[""datadiscriminator"", ""asset_category"", ""currency"", ""symbol"", ""quantity"", ""mult"", ""cost_price"", ""cost_basis"", ""close_price"", ""value"", ""unrealized_p_l"", ""code""]"
open_positions__all,Open Positions,189,12,16,tables/open_positions__all.csv,"[""<consolidated union of section variants>""]","[""line_no"", ""row_kind"", ""source_table"", ""datadiscriminator"", ""asset_category"", ""currency"", ""symbol"", ""quantity"", ""mult"", ""cost_price"", ""cost_basis"", ""close_price"", ""value"", ""unrealized_p_l"", ""code""]"
realized_unrealized_performance_summary__01,Realized & Unrealized Performance Summary,85,15,42,tables/realized_unrealized_performance_summary__01.csv,"[""Asset Category"", ""Symbol"", ""Cost Adj."", ""Realized S/T Profit"", ""Realized S/T Loss"", ""Realized L/T Profit"", ""Realized L/T Loss"", ""Realized Total"", ""Unrealized S/T Profit"", ""Unrealized S/T Loss"", ""Unrealized L/T Profit"", ""Unrealized L/T Loss"", ""Unrealized Total"", ""Total"", ""Code""]","[""asset_category"", ""symbol"", ""cost_adj"", ""realized_s_t_profit"", ""realized_s_t_loss"", ""realized_l_t_profit"", ""realized_l_t_loss"", ""realized_total"", ""unrealized_s_t_profit"", ""unrealized_s_t_loss"", ""unrealized_l_t_profit"", ""unrealized_l_t_loss"", ""unrealized_total"", ""total"", ""code""]"
realized_unrealized_performance_summary__all,Realized & Unrealized Performance Summary,86,15,42,tables/realized_unrealized_performance_summary__all.csv,"[""<consolidated union of section variants>""]","[""line_no"", ""row_kind"", ""source_table"", ""asset_category"", ""symbol"", ""cost_adj"", ""realized_s_t_profit"", ""realized_s_t_loss"", ""realized_l_t_profit"", ""realized_l_t_loss"", ""realized_total"", ""unrealized_s_t_profit"", ""unrealized_s_t_loss"", ""unrealized_l_t_profit"", ""unrealized_l_t_loss"", ""unrealized_total"", ""total"", ""code""]"
statement__01,Statement,1,2,5,tables/statement__01.csv,"[""Field Name"", ""Field Value""]","[""field_name"", ""field_value""]"
statement__all,Statement,2,2,5,tables/statement__all.csv,"[""<consolidated union of section variants>""]","[""line_no"", ""row_kind"", ""source_table"", ""field_name"", ""field_value""]"
stock_yield_enhancement_program_securities_lent_activity__01,Stock Yield Enhancement Program Securities Lent Activity,478,9,4,tables/stock_yield_enhancement_program_securities_lent_activity__01.csv,"[""Asset Category"", ""Currency"", ""Symbol"", ""Date"", ""Description"", "" "", ""Transaction ID"", ""Quantity"", ""Collateral Amount""]","[""asset_category"", ""currency"", ""symbol"", ""date"", ""description"", ""field_6"", ""transaction_id"", ""quantity"", ""collateral_amount""]"
stock_yield_enhancement_program_securities_lent_activity__all,Stock Yield Enhancement Program Securities Lent Activity,479,9,4,tables/stock_yield_enhancement_program_securities_lent_activity__all.csv,"[""<consolidated union of section variants>""]","[""line_no"", ""row_kind"", ""source_table"", ""asset_category"", ""currency"", ""symbol"", ""date"", ""description"", ""field_6"", ""transaction_id"", ""quantity"", ""collateral_amount""]"
stock_yield_enhancement_program_securities_lent_fee_earned_details__01,Stock Yield Enhancement Program Securities Lent Fee Earned Details,483,10,2,tables/stock_yield_enhancement_program_securities_lent_fee_earned_details__01.csv,"[""Currency"", ""Value Date"", ""Symbol"", ""Start Date"", ""Quantity"", ""Collateral Amount"", ""Market-based Rate (%)"", ""SYEP Rate on Customer Collateral (%)"", ""SYEP Fee Earned by Customer"", ""Code""]","[""currency"", ""value_date"", ""symbol"", ""start_date"", ""quantity"", ""collateral_amount"", ""market_based_rate"", ""syep_rate_on_customer_collateral"", ""syep_fee_earned_by_customer"", ""code""]"
stock_yield_enhancement_program_securities_lent_fee_earned_details__all,Stock Yield Enhancement Program Securities Lent Fee Earned Details,484,10,2,tables/stock_yield_enhancement_program_securities_lent_fee_earned_details__all.csv,"[""<consolidated union of section variants>""]","[""line_no"", ""row_kind"", ""source_table"", ""currency"", ""value_date"", ""symbol"", ""start_date"", ""quantity"", ""collateral_amount"", ""market_based_rate"", ""syep_rate_on_customer_collateral"", ""syep_fee_earned_by_customer"", ""code""]"
trades__01,Trades,223,14,72,tables/trades__01.csv,"[""DataDiscriminator"", ""Asset Category"", ""Currency"", ""Symbol"", ""Date/Time"", ""Quantity"", ""T. Price"", ""C. Price"", ""Proceeds"", ""Comm/Fee"", ""Basis"", ""Realized P/L"", ""MTM P/L"", ""Code""]","[""datadiscriminator"", ""asset_category"", ""currency"", ""symbol"", ""date_time"", ""quantity"", ""t_price"", ""c_price"", ""proceeds"", ""comm_fee"", ""basis"", ""realized_p_l"", ""mtm_p_l"", ""code""]"
trades__02,Trades,297,14,12,tables/trades__02.csv,"[""DataDiscriminator"", ""Asset Category"", ""Currency"", ""Symbol"", ""Date/Time"", ""Quantity"", ""T. Price"", ""C. Price"", ""Notional Value"", ""Comm/Fee"", ""Basis"", ""Realized P/L"", ""MTM P/L"", ""Code""]","[""datadiscriminator"", ""asset_category"", ""currency"", ""symbol"", ""date_time"", ""quantity"", ""t_price"", ""c_price"", ""notional_value"", ""comm_fee"", ""basis"", ""realized_p_l"", ""mtm_p_l"", ""code""]"
trades__03,Trades,310,14,6,tables/trades__03.csv,"[""DataDiscriminator"", ""Asset Category"", ""Currency"", ""Symbol"", ""Date/Time"", ""Quantity"", ""T. Price"", """", ""Proceeds"", ""Comm in USD"", """", """", ""MTM in USD"", ""Code""]","[""datadiscriminator"", ""asset_category"", ""currency"", ""symbol"", ""date_time"", ""quantity"", ""t_price"", ""field_8"", ""proceeds"", ""comm_in_usd"", ""field_11"", ""field_12"", ""mtm_in_usd"", ""code""]"
trades__all,Trades,224,20,90,tables/trades__all.csv,"[""<consolidated union of section variants>""]","[""line_no"", ""row_kind"", ""source_table"", ""datadiscriminator"", ""asset_category"", ""currency"", ""symbol"", ""date_time"", ""quantity"", ""t_price"", ""c_price"", ""proceeds"", ""comm_fee"", ""basis"", ""realized_p_l"", ""mtm_p_l"", ""code"", ""notional_value"", ""field_8"", ""comm_in_usd"", ""field_11"", ""field_12"", ""mtm_in_usd""]"
transaction_fees__01,Transaction Fees,317,9,4,tables/transaction_fees__01.csv,"[""Asset Category"", ""Currency"", ""Date/Time"", ""Symbol"", ""Description"", ""Quantity"", ""Trade Price"", ""Amount"", ""Code""]","[""asset_category"", ""currency"", ""date_time"", ""symbol"", ""description"", ""quantity"", ""trade_price"", ""amount"", ""code""]"
transaction_fees__all,Transaction Fees,318,9,4,tables/transaction_fees__all.csv,"[""<consolidated union of section variants>""]","[""line_no"", ""row_kind"", ""source_table"", ""asset_category"", ""currency"", ""date_time"", ""symbol"", ""description"", ""quantity"", ""trade_price"", ""amount"", ""code""]"
