line_no,section,row_kind,column_count,raw_row_json
84,Total P/L for Statement Period,,14,"[""Total P/L for Statement Period"", """", """", """", """", """", """", """", """", """", """", """", ""11.032871631"", """"]"
128,Notes,This statement uses wash sales P/L for realized and unrealized P/L calculations.,2,"[""Notes"", ""This statement uses wash sales P/L for realized and unrealized P/L calculations.""]"
