line_no,row_kind,datadiscriminator,asset_category,currency,symbol,date_time,quantity,t_price,c_price,proceeds,comm_fee,basis,realized_p_l,mtm_p_l,code
242,Data,Order,Stocks,USD,FIG,"2026-03-03, 09:30:01",1,28.47,30.74,-28.47,-0.2857,28.7557,0,2.27,O
243,SubTotal,,Stocks,USD,FIG,,103,,,-3485.41,-1.8593,3487.2693,0,-36.19,
244,Data,Order,Stocks,USD,HAS,"2025-04-09, 14:07:25",3,54.46,55.18,-163.38,-1.000105,181.154333,16.774228,2.16,C
245,SubTotal,,Stocks,USD,HAS,,3,,,-163.38,-1.000105,181.154333,16.774228,2.16,
246,Data,Order,Stocks,USD,HBI,"2025-04-09, 14:06:32",30,4.71,4.86,-141.3,-1.00105,171.248851,28.947801,4.5,C
247,SubTotal,,Stocks,USD,HBI,,30,,,-141.3,-1.00105,171.248851,28.947801,4.5,
248,Data,Order,Stocks,USD,HPE,"2025-04-09, 14:06:42",10,14.2393,14.5,-142.393,-1.00046,152.343617,8.950157,2.607,C;IA
249,SubTotal,,Stocks,USD,HPE,,10,,,-142.393,-1.00046,152.343617,8.950157,2.607,
250,Data,Order,Stocks,USD,HPQ,"2025-04-09, 14:06:52",10,23.72,24.28,-237.2,-1.00046,274.600218,36.399758,5.6,C
251,SubTotal,,Stocks,USD,HPQ,,10,,,-237.2,-1.00046,274.600218,36.399758,5.6,
252,Data,Order,Stocks,USD,MAT,"2025-04-09, 14:06:17",10,15.575,15.86,-155.75,-1.00046,192.812492,36.062032,2.85,C
253,SubTotal,,Stocks,USD,MAT,,10,,,-155.75,-1.00046,192.812492,36.062032,2.85,
254,Data,Order,Stocks,USD,MSCI,"2025-04-08, 13:39:07",-5,509.535,506.97,2547.675,-1.071885365,-2877.160192,-330.557077,12.825,C
255,SubTotal,,Stocks,USD,MSCI,,-5,,,2547.675,-1.071885365,-2877.160192,-330.557077,12.825,
256,Data,Order,Stocks,USD,NMM,"2025-04-08, 13:38:37",-40,30.11,29.54,1204.4,-1.04196232,-1928.10144,-724.743402,22.8,C
257,SubTotal,,Stocks,USD,NMM,,-40,,,1204.4,-1.04196232,-1928.10144,-724.743402,22.8,
258,Data,Order,Stocks,USD,RNMBY,"2025-06-06, 08:22:17",3,415,410.77,-1245,-1.00000138,1246.00000138,0,-12.69,O
259,SubTotal,,Stocks,USD,RNMBY,,3,,,-1245,-1.00000138,1246.00000138,0,-12.69,
260,Data,Order,Stocks,USD,SE,"2025-04-09, 09:52:14",-16,105.21,119.09,1683.36,-1.050189408,-2037.744736,-355.434925,-222.08,C
261,SubTotal,,Stocks,USD,SE,,-16,,,1683.36,-1.050189408,-2037.744736,-355.434925,-222.08,
262,Data,Order,Stocks,USD,SLV,"2025-06-20, 16:20:00",100,30,32.72,-3000,0,3000,0,272,Ex;O
263,SubTotal,,Stocks,USD,SLV,,100,,,-3000,0,3000,0,272,
