line_no,row_kind,datadiscriminator,asset_category,currency,symbol,date_time,quantity,t_price,field_8,proceeds,comm_in_usd,field_11,field_12,mtm_in_usd,code
311,Data,Order,Forex,HKD,GBP.HKD,"2025-04-04, 07:09:59",-13.16,10.1197,,133.175252,0,,,0.160513,L
312,SubTotal,,Forex,HKD,GBP.HKD,,-13.16,,,133.175252,0,,,0.160513,
313,Data,Order,Forex,HKD,USD.HKD,"2025-04-06, 21:18:42","-2,674.58",7.77275,,20788.841695,-0.053479559,,,1.77548,L
314,SubTotal,,Forex,HKD,USD.HKD,,-2674.58,,,20788.841695,-0.053479559,,,1.77548,
315,Total,,Forex,HKD,,,,,,20922.016947,-0.053479559,,,1.935993, 
316,Total,,Forex,USD,,,,,,2693.485812479,-0.053479559,,,1.935993, 
