line_no,row_kind,currency,value_date,symbol,start_date,quantity,collateral_amount,market_based_rate,syep_rate_on_customer_collateral,syep_fee_earned_by_customer,code
484,Data,USD,2025-12-17,TKO,2025-12-17,-12,2580,0.1,0.05,0.01,Po
485,Data,Total,,,,,,,,0.01,
