line_no,row_kind,code,meaning,code_cont,meaning_cont
525,Data,A,Assignment,,
526,Data,ADR,ADR Fee Accrual,,
527,Data,AEx,Automatic exercise for dividend-related recommendation.,,
528,Data,AFx,AutoFX conversion resulting from trading,,
529,Data,Adj,Adjustment,,
530,Data,Al,Allocation,,
531,Data,Aw,Away Trade,,
532,Data,B,Automatic Buy-in,,
533,Data,Bo,Direct Borrow,,
534,Data,C,Closing Trade,,
535,Data,CD,Cash Delivery,,
536,Data,CP,Complex Position,,
537,Data,Ca,Cancelled,,
538,Data,Co,Corrected Trade,,
539,Data,Cx,Part or all of this transaction was a Crossing executed as dual agent by IB for two IB customers,,
540,Data,DT,Discounted Trade,,
541,Data,De,Delivery or Conversion Action,,
542,Data,ETF,ETF Creation/Redemption,,
543,Data,Ep,Resulted from an Expired Position,,
544,Data,Ex,Exercise,,
545,Data,FP,The fractional portion of this trade was executed against IB or an affiliate.,,
546,Data,FPA,The fractional portion of this trade was executed against IB or an affiliate. IB acted as agent for the whole share portion of this trade.,,
547,Data,G,Trade in Guaranteed Account Segment,,
548,Data,GEA,Exercise or Assignment resulting from offsetting positions,,
549,Data,HC,Highest Cost tax basis election,,
550,Data,HFI,Investment Transferred to Hedge Fund,,
551,Data,HFR,Redemption from Hedge Fund,,
552,Data,I,Internal Transfer,,
553,Data,IA,The transaction was executed against IB or an affiliate,,
554,Data,IM,A portion of the order was executed against IB or an affiliate; IB acted as agent on a portion.,,
555,Data,INV,Investment Transfer from Investor,,
556,Data,IPO,This transaction was executed as part of an IPO in which IB was a member of the selling group and is classified as a Principal trade.,,
557,Data,L,Ordered by IB (Margin Violation),,
558,Data,LD,Adjusted by Loss Disallowed from Wash Sale,,
559,Data,LF,Liquidation of fractional position by IB,,
560,Data,LI,"Last In, First Out (LIFO) tax basis election",,
561,Data,LT,Long Term P/L,,
562,Data,Lo,Direct Loan,,
563,Data,M,Entered manually by IB,,
564,Data,MEx,Manual exercise for dividend-related recommendation.,,
565,Data,ML,Maximize Losses tax basis election,,
566,Data,MLG,Maximize Long Term Gain tax basis election,,
567,Data,MLL,Maximize Long Term Loss tax basis election,,
568,Data,MSG,Maximize Short Term Gain tax basis election,,
569,Data,MSL,Maximize Short Term Loss tax basis election,,
570,Data,O,Opening Trade,,
571,Data,Off,Yes and No contracts offset to $1.00 cash settlement,,
572,Data,P,Partial Execution,,
573,Data,PE,Perpetual Investment,,
574,Data,PI,Price Improvement,,
575,Data,PTA,Post Trade Allocation,,
576,Data,Po,Interest or Dividend Accrual Posting,,
577,Data,Pr,Part or all of this transaction was executed by the Exchange as a Crossing by IB against an IB affiliate and is therefore classified as a Principal and not an agency trade,,
578,Data,R,Dividend Reinvestment,,
579,Data,RED,Redemption to Investor,,
580,Data,RI,Recurring Investment,,
581,Data,RP,"IB acted as agent for the fractional share portion of this trade, which was executed by an IB affiliate as riskless principal.",,
582,Data,RPA,IB acted as agent for both the fractional share portion and the whole share portion of this trade; the fractional share portion was executed by an IB Affiliate as riskless principal.,,
583,Data,Rb,Rebill,,
584,Data,Re,Interest or Dividend Accrual Reversal,,
585,Data,Ri,Reimbursement,,
586,Data,S0,Contract settled to zero value,,
587,Data,S1,Contract settled to $1.00,,
588,Data,SF,Trade is subject to IBKR Lite Surcharge Fee if volume of such trades exceeds 10% of the total monthly Lite trade volume,,
589,Data,SI,This order was solicited by Interactive Brokers,,
590,Data,SL,Specific Lot tax basis election,,
591,Data,SO,This order was marked as solicited by your Introducing Broker,,
592,Data,SS,Customer designated this trade for shortened settlement and so is subject to execution at prices above the prevailing market,,
593,Data,ST,Short Term P/L,,
594,Data,T,Transfer,,
595,Data,Un,Unvested shares from stock grant,,
596,Data,XCH,Mutual Fund Exchange Transaction,,
