line_no,row_kind,source_table,asset_category,currency,symbol,date,ex_date,pay_date,quantity,tax,fee,gross_rate,gross_amount,net_amount,code
455,Data,change_in_dividend_accruals__01,Stocks,USD,NVDA,2025-04-02,2025-03-12,2025-04-02,25,0,0,0.01,-0.25,-0.25,Re
456,Data,change_in_dividend_accruals__01,Stocks,USD,NVDA,2025-06-10,2025-06-11,2025-07-03,25,0,0,0.01,0.25,0.25,Po
457,Data,change_in_dividend_accruals__01,Stocks,USD,NVDA,2025-07-03,2025-06-11,2025-07-03,25,0,0,0.01,-0.25,-0.25,Re
458,Data,change_in_dividend_accruals__01,Stocks,USD,NVDA,2025-09-10,2025-09-11,2025-10-02,25,0,0,0.01,0.25,0.25,Po
459,Data,change_in_dividend_accruals__01,Stocks,USD,NVDA,2025-10-02,2025-09-11,2025-10-02,25,0,0,0.01,-0.25,-0.25,Re
460,Data,change_in_dividend_accruals__01,Stocks,USD,NVDA,2025-12-03,2025-12-04,2025-12-26,25,0,0,0.01,0.25,0.25,Po
461,Data,change_in_dividend_accruals__01,Stocks,USD,NVDA,2025-12-26,2025-12-04,2025-12-26,25,0,0,0.01,-0.25,-0.25,Re
462,Data,change_in_dividend_accruals__01,Stocks,USD,TKO,2025-06-12,2025-06-13,2025-06-30,12,0,0,0.38,4.56,4.56,Po
463,Data,change_in_dividend_accruals__01,Stocks,USD,TKO,2025-06-30,2025-06-13,2025-06-30,12,0,0,0.38,-4.56,-4.56,Re
464,Data,change_in_dividend_accruals__01,Stocks,USD,TKO,2025-09-12,2025-09-15,2025-09-30,12,0,0,0.76,9.12,9.12,Po
465,Data,change_in_dividend_accruals__01,Stocks,USD,TKO,2025-09-30,2025-09-15,2025-09-30,12,0,0,0.76,-9.12,-9.12,Re
466,Data,change_in_dividend_accruals__01,Stocks,USD,TKO,2025-12-12,2025-12-15,2025-12-30,12,0,0,0.78,9.36,9.36,Po
467,Data,change_in_dividend_accruals__01,Stocks,USD,TKO,2025-12-30,2025-12-15,2025-12-30,12,0,0,0.78,-9.36,-9.36,Re
468,Data,change_in_dividend_accruals__01,Stocks,USD,V,2025-05-12,2025-05-13,2025-06-02,3,0,0,0.59,1.77,1.77,Po
469,Data,change_in_dividend_accruals__01,Stocks,USD,V,2025-06-02,2025-05-13,2025-06-02,3,0,0,0.59,-1.77,-1.77,Re
470,Data,change_in_dividend_accruals__01,Stocks,USD,V,2025-08-11,2025-08-12,2025-09-02,3,0,0,0.59,1.77,1.77,Po
471,Data,change_in_dividend_accruals__01,Stocks,USD,V,2025-09-02,2025-08-12,2025-09-02,3,0,0,0.59,-1.77,-1.77,Re
472,Data,change_in_dividend_accruals__01,Stocks,USD,V,2025-11-11,2025-11-12,2025-12-01,3,0,0,0.67,2.01,2.01,Po
473,Data,change_in_dividend_accruals__01,Stocks,USD,V,2025-12-01,2025-11-12,2025-12-01,3,0,0,0.67,-2.01,-2.01,Re
474,Data,change_in_dividend_accruals__01,Stocks,USD,V,2026-02-09,2026-02-10,2026-03-02,3,0,0,0.67,2.01,2.01,Po
475,Data,change_in_dividend_accruals__01,Stocks,USD,V,2026-03-02,2026-02-10,2026-03-02,3,0,0,0.67,-2.01,-2.01,Re
476,Data,change_in_dividend_accruals__01,Total,,,,,,,0,0,,-0.26,-0.26,
477,Data,change_in_dividend_accruals__01,Ending Dividend Accruals in USD,,,,,,,,,,,0,
