line_no,row_kind,asset_category,symbol,cost_adj,realized_s_t_profit,realized_s_t_loss,realized_l_t_profit,realized_l_t_loss,realized_total,unrealized_s_t_profit,unrealized_s_t_loss,unrealized_l_t_profit,unrealized_l_t_loss,unrealized_total,total,code
86,Data,Stocks,AAPL,0,0,0,0,0,0,0,-1.62,0,0,-1.62,-1.62,
87,Data,Stocks,AT.,0,0,0,0,0,0,26.04615,-14.79621675,0,0,11.24993325,11.24993325,
88,Data,Stocks,CBL,0,0,-669.5919647,0,0,-669.5919647,0,0,0,0,0,-669.5919647,
89,Data,Stocks,CUBI,0,0,-225.143817,0,0,-225.143817,0,0,0,0,0,-225.143817,
90,Data,Stocks,EL,0,27.911273,0,0,0,27.911273,0,0,0,0,0,27.911273,
91,Data,Stocks,EQT,0,0,0,0,0,0,0,0,463.3986,0,463.3986,463.3986,
92,Data,Stocks,FIG,0,0,0,0,0,0,5.9529,-327.0022,0,0,-321.0493,-321.0493,
93,Data,Stocks,HAS,0,16.774228,0,0,0,16.774228,0,0,0,0,0,16.774228,
94,Data,Stocks,HBI,0,28.947801,0,0,0,28.947801,0,0,0,0,0,28.947801,
95,Data,Stocks,HPE,0,8.950157,0,0,0,8.950157,0,0,0,0,0,8.950157,
96,Data,Stocks,HPQ,0,36.399758,0,0,0,36.399758,0,0,0,0,0,36.399758,
97,Data,Stocks,IGIC,0,0,0,0,0,0,0,0,163.9952,0,163.9952,163.9952,
98,Data,Stocks,KINS,0,0,0,0,0,0,0,0,253.925075,0,253.925075,253.925075,
99,Data,Stocks,MAT,0,36.062032,0,0,0,36.062032,0,0,0,0,0,36.062032,
100,Data,Stocks,MSCI,0,18.92062293,-349.47770029,0,0,-330.55707736,0,0,0,0,0,-330.55707736,
101,Data,Stocks,NMM,0,0,-724.74340232,0,0,-724.74340232,0,0,0,0,0,-724.74340232,
102,Data,Stocks,NVDA,0,0,0,0,0,0,0,0,1617.284105,0,1617.284105,1617.284105,
103,Data,Stocks,RNMBY,0,0,0,0,0,0,0,-139.750001,0,0,-139.750001,-139.750001,
104,Data,Stocks,SE,0,0,-355.43492541,0,0,-355.43492541,0,0,0,0,0,-355.43492541,
105,Data,Stocks,SFM,0,0,0,0,0,0,0,-880.48049,0,0,-880.48049,-880.48049,
106,Data,Stocks,SLV,0,0,0,0,0,0,4289.29275,0,0,0,4289.29275,4289.29275,
107,Data,Stocks,TKO,0,0,0,0,0,0,0,0,561.079448,0,561.079448,561.079448,
108,Data,Stocks,V,0,0,0,0,0,0,0,0,18.949895,0,18.949895,18.949895,
109,Data,Stocks,WHR,0,7.394539,0,0,0,7.394539,0,0,0,0,0,7.394539,
110,Data,Stocks,YETI,0,13.742973,0,0,0,13.742973,0,0,0,0,0,13.742973,
111,Data,Total,,0,195.10338393,-2324.39180972,0,0,-2129.28842579,4321.2918,-1363.64890775,3078.632323,0,6036.27521525,3906.98678946,
112,Data,Equity and Index Options,NMM 16JAN26 70 C,0,0,0,0,-210.04395,-210.04395,0,0,0,0,0,-210.04395,
113,Data,Equity and Index Options,NMM 16JAN26 85 C,0,0,0,0,-85.04395,-85.04395,0,0,0,0,0,-85.04395,
114,Data,Equity and Index Options,NXT 15AUG25 30 C,0,86.8640122,-60.1318734,0,0,26.7321388,0,0,0,0,0,26.7321388,
115,Data,Equity and Index Options,PDD 16JAN26 60 P,0,1055.331024,0,0,0,1055.331024,0,0,0,0,0,1055.331024,
116,Data,Equity and Index Options,PDD 16JAN26 110 C,0,0,-3784.3050642,0,0,-3784.3050642,0,0,0,0,0,-3784.3050642,
117,Data,Equity and Index Options,SLV 20JUN25 30 C,0,987.74211,0,0,0,987.74211,0,0,0,0,0,987.74211,
118,Data,Equity and Index Options,SLV 20JUN25 35 C,0,447.419088,0,0,0,447.419088,0,0,0,0,0,447.419088,
119,Data,Total,,0,2577.3562342,-3844.4369376,0,-295.0879,-1562.1686034,0,0,0,0,0,-1562.1686034,
120,Data,Futures,MGCM5,0,719.26,-1101.74,0,0,-382.48,0,0,0,0,0,-382.48,
121,Data,Futures,MHIJ5,0,0,-3947.68336,0,0,-3947.68336,0,0,0,0,0,-3947.68336,
122,Data,Futures,ZFM5,0,36.0225,0,0,0,36.0225,0,0,0,0,0,36.0225,
123,Data,Total,,0,755.2825,-5049.42336,0,0,-4294.14086,0,0,0,0,0,-4294.14086,
124,Data,Forex,GBP,0,6.622768,0,0,0,6.622768,48.925146,0,0,0,48.925146,55.547914,
125,Data,Forex,HKD,0,4.267575,-2.803226,0,0,1.464349,0.506473,-0.004074,0,0,0.502399,1.966748,
126,Data,Total,,0,10.890343,-2.803226,0,0,8.087117,49.431631,-0.004076,0,0,49.427555,57.514672,
127,Data,Total (All Assets),,0,3538.63246113,-11221.05533332,0,-295.0879,-7977.51077219,4370.723431,-1363.65298375,3078.632323,0,6085.70277025,-1891.80800194,
