line_no,row_kind,source_table,datadiscriminator,asset_category,currency,symbol,date_time,quantity,t_price,c_price,proceeds,comm_fee,basis,realized_p_l,mtm_p_l,code,notional_value,field_8,comm_in_usd,field_11,field_12,mtm_in_usd
296,Total,trades__01,,Equity and Index Options,USD,,,,,,8191,-27.308554,-9904.5672994,-1562.168603,-636.55, ,,,,,,
298,Data,trades__02,Order,Futures,HKD,MHIJ5,"2025-04-06, 21:45:44",-1,20632,19780,,-17,-236967,-30664,8520,C;L,206320,,,,,
299,SubTotal,trades__02,,Futures,HKD,MHIJ5,,-1,,,,-17,-236967,-30664,8520,,206320,,,,,
300,Total,trades__02,,Futures,HKD,,,,,,,-17,-236967,-30664,8520, ,206320,,,,,
301,Total,trades__02,,Futures,USD,,,,,,,-2.18858,-30507.13158,-3947.68336,1096.8648, ,26561.6368,,,,,
302,Data,trades__02,Order,Futures,USD,MGCM5,"2025-04-01, 16:50:17",1,3151.2,3146,,-0.87,31512.87,0,-52,O,-31512,,,,,
303,Data,trades__02,Order,Futures,USD,MGCM5,"2025-04-04, 11:51:31",-1,3041.2,3035.4,,-0.87,-31512.87,-1101.74,58,C;L,30412,,,,,
304,Data,trades__02,Order,Futures,USD,MGCM5,"2025-04-14, 15:39:07",1,3225.9,3226.3,,-0.87,32259.87,0,4,O,-32259,,,,,
305,Data,trades__02,Order,Futures,USD,MGCM5,"2025-05-28, 09:42:35",-1,3298,3294.9,,-0.87,-32259.87,719.26,31,C;L,32980,,,,,
306,SubTotal,trades__02,,Futures,USD,MGCM5,,0,,,,-3.48,0,-382.48,41,,-379,,,,,
307,Data,trades__02,Order,Futures,USD,ZFM5,"2025-04-09, 09:50:40",-1,108.203125,107.679688,,-1.52,-108165.5825,36.0225,523.4375,C,108203.125,,,,,
308,SubTotal,trades__02,,Futures,USD,ZFM5,,-1,,,,-1.52,-108165.5825,36.0225,523.4375,,108203.125,,,,,
309,Total,trades__02,,Futures,USD,,,,,,,-5,-108165.5825,-346.4575,564.4375, ,107824.125,,,,,
311,Data,trades__03,Order,Forex,HKD,GBP.HKD,"2025-04-04, 07:09:59",-13.16,10.1197,,133.175252,,,,,L,,,0,,,0.160513
312,SubTotal,trades__03,,Forex,HKD,GBP.HKD,,-13.16,,,133.175252,,,,,,,,0,,,0.160513
313,Data,trades__03,Order,Forex,HKD,USD.HKD,"2025-04-06, 21:18:42","-2,674.58",7.77275,,20788.841695,,,,,L,,,-0.053479559,,,1.77548
314,SubTotal,trades__03,,Forex,HKD,USD.HKD,,-2674.58,,,20788.841695,,,,,,,,-0.053479559,,,1.77548
315,Total,trades__03,,Forex,HKD,,,,,,20922.016947,,,,, ,,,-0.053479559,,,1.935993
316,Total,trades__03,,Forex,USD,,,,,,2693.485812479,,,,, ,,,-0.053479559,,,1.935993
