line_no,row_kind,source_table,asset_category,symbol,prior_quantity,current_quantity,prior_price,current_price,mark_to_market_p_l_position,mark_to_market_p_l_transaction,mark_to_market_p_l_commissions,mark_to_market_p_l_other,mark_to_market_p_l_total,code
53,Data,mark_to_market_performance_summary__01,Stocks,RNMBY,0,3,--,368.7500,-126.06,-12.69,-1.00000138,0,-139.75000138,
54,Data,mark_to_market_performance_summary__01,Stocks,SE,16,0,130.4900,--,-182.4,-222.08,-1.05018941,0,-405.53018941,
55,Data,mark_to_market_performance_summary__01,Stocks,SFM,14,14,152.6400,77.9900,-1045.1,0,0,0,-1045.1,
56,Data,mark_to_market_performance_summary__01,Stocks,SLV,0,100,--,74.6800,4196,272,0,0,4468,
57,Data,mark_to_market_performance_summary__01,Stocks,TKO,12,12,152.8100,219.9400,805.56,0,0,23.04,828.6,
58,Data,mark_to_market_performance_summary__01,Stocks,V,3,3,350.4600,320.8300,-88.89,0,0,7.56,-81.33,
59,Data,mark_to_market_performance_summary__01,Stocks,WHR,-2,0,90.1300,--,9.72,2.08,-1.000092,0,10.799908,
60,Data,mark_to_market_performance_summary__01,Stocks,YETI,-6,0,33.1000,--,13.2,4.05,-1.000276,0,16.249724,
61,Data,mark_to_market_performance_summary__01,Total,,,,,,4207.7979,-105.0579,-38.48491967,182.41,4246.66508033,
62,Data,mark_to_market_performance_summary__01,Equity and Index Options,NMM 16JAN26 70 C,1,0,0.4750,--,-47.5,0,0,0,-47.5,
63,Data,mark_to_market_performance_summary__01,Equity and Index Options,NMM 16JAN26 85 C,1,0,0.2142,--,-21.42,0,0,0,-21.42,
64,Data,mark_to_market_performance_summary__01,Equity and Index Options,NXT 15AUG25 30 C,2,0,14.0611,--,-486.7,-171.52,-2.1799612,0,-660.3999612,
65,Data,mark_to_market_performance_summary__01,Equity and Index Options,PDD 16JAN26 60 P,4,0,1.1094,--,1497.96,-221.72,-1.887976,0,1274.352024,
66,Data,mark_to_market_performance_summary__01,Equity and Index Options,PDD 16JAN26 110 C,2,0,25.2680,--,-2063.67,49.07,-1.6945642,0,-2016.2945642,
67,Data,mark_to_market_performance_summary__01,Equity and Index Options,SLV 20JUN25 30 C,0,0,--,--,1090.88,-268.88,-12.96514,0,809.03486,
68,Data,mark_to_market_performance_summary__01,Equity and Index Options,SLV 20JUN25 35 C,0,0,--,--,479.5,-23.5,-8.5809126,0,447.4190874,
69,Data,mark_to_market_performance_summary__01,Total,,,,,,449.05,-636.55,-27.308554,0,-214.808554,
70,Data,mark_to_market_performance_summary__01,Futures,MGCM5,0,0,--,--,-420,41,-3.48,0,-382.48,
71,Data,mark_to_market_performance_summary__01,Futures,MHIJ5,1,0,"23,162.0000",--,-4353.3372,1096.8648,-2.18858,0,-3258.66098,
72,Data,mark_to_market_performance_summary__01,Futures,ZFM5,1,0,108.15625,--,-476.5625,523.4375,-1.52,0,45.355,
73,Data,mark_to_market_performance_summary__01,Total,,,,,,-5249.8997,1661.3023,-7.18858,0,-3595.78598,
74,Data,mark_to_market_performance_summary__01,Forex,CAD,-0.00005501,-0.00005501,0.69498,0.73108,-0.000002,0,0,0,-0.000002,
75,Data,mark_to_market_performance_summary__01,Forex,GBP,70.61,-1572.1275,1.2918,1.3357,-1.64457125,0,0,0,-1.64457125,
76,Data,mark_to_market_performance_summary__01,Forex,HKD,3788.95024031,-679.44281269,0.12853,0.12813,0.56194371,1.935993,-0.053479559,0,2.444457151,
77,Data,mark_to_market_performance_summary__01,Forex,JPY,-0.0041255,-0.0041255,0.006668,0.0063408,0.00000137,0,0,0,0.00000137,
78,Data,mark_to_market_performance_summary__01,Forex,MXN,-0.00022853,-0.00022853,0.048858,0.056487,-0.00000177,0,0,0,-0.00000177,
79,Data,mark_to_market_performance_summary__01,Forex,USD,-11675.336746007,-6540.304990739,1.0000,1.0000,0,0,0,0,0,
80,Data,mark_to_market_performance_summary__01,Total,,,,,,-1.08262994,1.935993,-0.053479559,0,0.799883501,
81,Data,mark_to_market_performance_summary__01,Total (All Assets),,,,,,-594.13442994,921.630393,-73.035533229,182.41,436.870429831,
82,Data,mark_to_market_performance_summary__01,Broker Interest Paid and Received,,,,,,,,,,-261.8375582,
83,Data,mark_to_market_performance_summary__01,Other Fees,,,,,,,,,,-164,
