line_no,row_kind,asset_class,prior_total,current_long,current_short,current_total,change
15,Data,Cash ,-11097.129050525,3977.46,-12704.712779364,-8727.252779364,2369.876271162
16,Data,Stock,25089.47,31109.1266,0,31109.1266,6019.6566
17,Data,Options,8378.5,0,0,0,-8378.5
18,Data,Interest Accruals,-87.3749551,0,-33.1069115,-33.1069115,54.2680436
19,Data,Dividend Accruals,0.25,0,0,0,-0.25
20,Data,Total,22283.715994375,35086.5866,-12737.819690864,22348.766909136,65.050914762
