table_name,section,header_line_no,column_count,row_count,csv_path,raw_headers_json,column_names_json
account_information__01,Account Information,7,2,6,tables/account_information__01.csv,"[""Field Name"", ""Field Value""]","[""field_name"", ""field_value""]"
account_information__all,Account Information,8,2,6,tables/account_information__all.csv,"[""<consolidated union of section variants>""]","[""line_no"", ""row_kind"", ""source_table"", ""field_name"", ""field_value""]"
change_in_dividend_accruals__01,Change in Dividend Accruals,434,13,55,tables/change_in_dividend_accruals__01.csv,"[""Asset Category"", ""Currency"", ""Symbol"", ""Date"", ""Ex Date"", ""Pay Date"", ""Quantity"", ""Tax"", ""Fee"", ""Gross Rate"", ""Gross Amount"", ""Net Amount"", ""Code""]","[""asset_category"", ""currency"", ""symbol"", ""date"", ""ex_date"", ""pay_date"", ""quantity"", ""tax"", ""fee"", ""gross_rate"", ""gross_amount"", ""net_amount"", ""code""]"
change_in_dividend_accruals__all,Change in Dividend Accruals,435,13,55,tables/change_in_dividend_accruals__all.csv,"[""<consolidated union of section variants>""]","[""line_no"", ""row_kind"", ""source_table"", ""asset_category"", ""currency"", ""symbol"", ""date"", ""ex_date"", ""pay_date"", ""quantity"", ""tax"", ""fee"", ""gross_rate"", ""gross_amount"", ""net_amount"", ""code""]"
change_in_nav__01,Change in NAV,22,2,3,tables/change_in_nav__01.csv,"[""Field Name"", ""Field Value""]","[""field_name"", ""field_value""]"
change_in_nav__all,Change in NAV,23,2,3,tables/change_in_nav__all.csv,"[""<consolidated union of section variants>""]","[""line_no"", ""row_kind"", ""source_table"", ""field_name"", ""field_value""]"
codes__01,Codes,490,4,72,tables/codes__01.csv,"[""Code"", ""Meaning"", ""Code (Cont.)"", ""Meaning (Cont.)""]","[""code"", ""meaning"", ""code_cont"", ""meaning_cont""]"
codes__all,Codes,491,4,72,tables/codes__all.csv,"[""<consolidated union of section variants>""]","[""line_no"", ""row_kind"", ""source_table"", ""code"", ""meaning"", ""code_cont"", ""meaning_cont""]"
dividends__01,Dividends,347,4,33,tables/dividends__01.csv,"[""Currency"", ""Date"", ""Description"", ""Amount""]","[""currency"", ""date"", ""description"", ""amount""]"
dividends__all,Dividends,348,4,33,tables/dividends__all.csv,"[""<consolidated union of section variants>""]","[""line_no"", ""row_kind"", ""source_table"", ""currency"", ""date"", ""description"", ""amount""]"
fees__01,Fees,321,5,25,tables/fees__01.csv,"[""Subtitle"", ""Currency"", ""Date"", ""Description"", ""Amount""]","[""subtitle"", ""currency"", ""date"", ""description"", ""amount""]"
fees__all,Fees,322,5,25,tables/fees__all.csv,"[""<consolidated union of section variants>""]","[""line_no"", ""row_kind"", ""source_table"", ""subtitle"", ""currency"", ""date"", ""description"", ""amount""]"
forex_balances__01,Forex Balances,100,10,4,tables/forex_balances__01.csv,"[""Asset Category"", ""Currency"", ""Description"", ""Quantity"", ""Cost Price"", ""Cost Basis in USD"", ""Close Price"", ""Value in USD"", ""Unrealized P/L in USD"", ""Code""]","[""asset_category"", ""currency"", ""description"", ""quantity"", ""cost_price"", ""cost_basis_in_usd"", ""close_price"", ""value_in_usd"", ""unrealized_p_l_in_usd"", ""code""]"
forex_balances__all,Forex Balances,101,10,4,tables/forex_balances__all.csv,"[""<consolidated union of section variants>""]","[""line_no"", ""row_kind"", ""source_table"", ""asset_category"", ""currency"", ""description"", ""quantity"", ""cost_price"", ""cost_basis_in_usd"", ""close_price"", ""value_in_usd"", ""unrealized_p_l_in_usd"", ""code""]"
